"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","pdays_status","pdays_clean","age_group","balance_group","cluster","gmm_cluster"
38,"retired","single","unknown","no",62,"no","no","unknown",19,"jun",212,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
46,"admin.","married","secondary","no",179,"yes","no","cellular",29,"jan",194,4,436,1,"other","no","Contacted",436,"40-50","0-1K","5","3"
58,"admin.","married","secondary","no",169,"no","no","cellular",15,"feb",216,1,91,4,"success","yes","Contacted",91,"50-60","0-1K","5","4"
46,"technician","divorced","secondary","no",129,"no","no","unknown",25,"jun",75,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
26,"admin.","married","secondary","no",3160,"yes","no","unknown",27,"may",154,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","1"
27,"services","single","secondary","no",343,"yes","no","cellular",20,"apr",282,2,320,1,"other","no","Contacted",320,"Under 30","0-1K","1","3"
31,"management","married","tertiary","no",11,"yes","yes","cellular",20,"aug",155,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
29,"self-employed","single","tertiary","no",871,"yes","no","cellular",2,"jun",310,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
60,"retired","married","secondary","no",1420,"yes","yes","unknown",6,"jun",39,4,-1,0,"unknown","no","Not Contacted",NA,"60+","1K-5K","5","1"
34,"technician","married","tertiary","no",555,"yes","no","cellular",7,"aug",144,18,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","1"
48,"entrepreneur","single","tertiary","no",2313,"no","no","unknown",6,"jun",130,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
37,"management","married","tertiary","no",1060,"no","no","cellular",20,"nov",125,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
36,"management","married","tertiary","no",406,"no","no","cellular",14,"aug",123,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
31,"management","married","tertiary","yes",0,"no","no","cellular",14,"jul",118,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
45,"blue-collar","married","secondary","no",0,"yes","no","unknown",26,"may",112,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
64,"unemployed","divorced","secondary","no",588,"no","no","cellular",8,"mar",409,1,-1,0,"unknown","yes","Not Contacted",NA,"60+","0-1K","5","2"
38,"unemployed","married","secondary","no",0,"yes","yes","cellular",30,"jan",437,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
32,"blue-collar","single","secondary","no",5252,"yes","no","cellular",20,"nov",232,2,183,2,"failure","no","Contacted",183,"30-40","5K-10K","1","4"
35,"services","married","secondary","no",322,"yes","yes","unknown",20,"jun",590,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","4","2"
27,"services","single","secondary","no",1820,"yes","no","cellular",17,"jul",1027,1,-1,0,"unknown","yes","Not Contacted",NA,"Under 30","1K-5K","4","3"
39,"blue-collar","single","secondary","no",1961,"no","no","unknown",21,"may",216,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
33,"management","single","tertiary","no",289,"yes","no","cellular",17,"apr",388,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
35,"management","married","tertiary","no",-196,"yes","no","cellular",22,"jul",216,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
59,"blue-collar","married","secondary","no",16869,"no","no","cellular",19,"nov",107,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","10K+","5","3"
31,"services","married","secondary","no",505,"no","no","cellular",11,"jul",773,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","4","2"
60,"blue-collar","married","secondary","no",1130,"no","no","cellular",14,"jul",64,2,-1,0,"unknown","no","Not Contacted",NA,"60+","1K-5K","5","2"
53,"management","married","tertiary","no",2094,"no","yes","cellular",27,"aug",95,6,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
52,"management","married","unknown","no",672,"no","yes","cellular",17,"nov",171,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
37,"management","single","tertiary","no",1517,"no","yes","cellular",6,"may",60,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
34,"services","married","secondary","no",0,"yes","no","cellular",14,"jul",78,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
38,"blue-collar","single","unknown","no",-933,"yes","no","cellular",28,"jul",149,11,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","2","1"
53,"retired","divorced","secondary","no",797,"no","no","unknown",20,"jun",14,6,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","1"
66,"retired","married","secondary","no",203,"no","no","cellular",7,"jul",376,1,-1,0,"unknown","yes","Not Contacted",NA,"60+","0-1K","5","2"
46,"technician","married","tertiary","no",342,"yes","yes","cellular",5,"may",84,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
30,"management","single","tertiary","no",872,"yes","no","cellular",15,"may",61,1,298,2,"failure","no","Contacted",298,"30-40","0-1K","1","3"
47,"services","married","primary","no",586,"no","no","cellular",12,"aug",68,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
38,"blue-collar","divorced","secondary","no",1817,"yes","no","cellular",28,"jul",1096,4,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","4","3"
45,"management","married","primary","no",4629,"no","no","telephone",2,"apr",285,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
30,"technician","single","secondary","no",1352,"yes","no","cellular",13,"may",321,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
39,"management","divorced","tertiary","no",1387,"yes","no","cellular",14,"aug",373,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
30,"self-employed","married","tertiary","no",2666,"no","no","cellular",5,"aug",475,2,93,4,"success","yes","Contacted",93,"30-40","1K-5K","1","4"
30,"management","single","tertiary","no",640,"no","no","cellular",6,"feb",124,4,213,2,"failure","no","Contacted",213,"30-40","0-1K","1","3"
63,"retired","married","secondary","no",2896,"no","no","cellular",4,"mar",180,2,-1,0,"unknown","yes","Not Contacted",NA,"60+","1K-5K","5","1"
38,"management","divorced","tertiary","no",1149,"yes","no","cellular",14,"may",91,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
75,"admin.","married","unknown","no",1093,"no","no","cellular",22,"apr",369,1,-1,0,"unknown","no","Not Contacted",NA,"60+","1K-5K","5","2"
46,"unknown","married","unknown","no",0,"no","no","cellular",4,"aug",343,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
40,"technician","married","tertiary","no",-1779,"yes","yes","unknown",18,"jun",37,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","1","2"
53,"services","married","secondary","no",1065,"no","yes","cellular",24,"jul",211,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
57,"blue-collar","married","primary","no",3498,"no","no","cellular",15,"jul",210,2,456,2,"success","no","Contacted",456,"50-60","1K-5K","5","3"
36,"admin.","married","tertiary","no",75,"no","yes","cellular",20,"nov",97,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
46,"admin.","married","secondary","no",171,"yes","yes","cellular",11,"oct",251,1,430,1,"failure","no","Contacted",430,"40-50","0-1K","5","3"
32,"self-employed","single","tertiary","no",1249,"yes","no","cellular",19,"nov",472,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","1K-5K","1","2"
42,"technician","married","tertiary","no",246,"yes","no","telephone",12,"may",360,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
53,"housemaid","married","secondary","no",637,"no","no","cellular",28,"jan",150,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
46,"blue-collar","married","primary","no",2499,"yes","no","unknown",16,"may",42,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
47,"blue-collar","married","secondary","no",3696,"yes","no","cellular",19,"nov",635,3,170,2,"failure","no","Contacted",170,"40-50","1K-5K","4","4"
34,"blue-collar","married","secondary","no",800,"no","no","cellular",5,"apr",144,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
18,"student","single","unknown","no",108,"no","no","cellular",8,"sep",169,1,-1,0,"unknown","yes","Not Contacted",NA,"Under 30","0-1K","1","2"
52,"blue-collar","single","primary","no",0,"no","no","cellular",15,"jul",131,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
30,"technician","married","tertiary","no",1103,"yes","yes","cellular",29,"jul",148,15,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","2","1"
43,"blue-collar","married","secondary","no",699,"yes","yes","cellular",20,"nov",1258,2,122,2,"other","yes","Contacted",122,"40-50","0-1K","4","4"
54,"blue-collar","married","primary","no",316,"yes","no","cellular",14,"may",240,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
36,"management","divorced","tertiary","no",2397,"no","no","cellular",25,"aug",93,9,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
57,"housemaid","married","tertiary","no",2326,"no","no","cellular",17,"apr",378,1,-1,0,"unknown","yes","Not Contacted",NA,"50-60","1K-5K","5","1"
39,"admin.","single","secondary","no",-25,"yes","no","unknown",6,"may",576,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","4","2"
55,"blue-collar","married","primary","no",2896,"no","no","unknown",17,"jun",138,3,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
54,"self-employed","married","tertiary","no",542,"no","no","telephone",6,"feb",48,5,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","1"
29,"services","married","secondary","no",399,"no","no","cellular",18,"dec",454,6,199,1,"failure","no","Contacted",199,"Under 30","0-1K","1","3"
33,"blue-collar","married","secondary","no",1240,"yes","no","unknown",5,"jun",400,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
35,"blue-collar","single","secondary","no",885,"yes","no","cellular",15,"jul",632,6,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","4","3"
40,"admin.","married","secondary","no",67,"no","yes","cellular",19,"nov",359,2,152,5,"failure","no","Contacted",152,"40-50","0-1K","3","4"
37,"technician","divorced","secondary","no",0,"yes","no","cellular",16,"jul",46,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
59,"retired","divorced","primary","no",1194,"yes","no","cellular",15,"jun",132,4,389,2,"failure","no","Contacted",389,"50-60","1K-5K","5","3"
36,"blue-collar","divorced","secondary","no",-59,"yes","no","unknown",28,"may",193,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
31,"technician","single","primary","no",449,"yes","no","unknown",28,"may",174,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
39,"blue-collar","married","primary","no",2226,"yes","no","unknown",6,"may",158,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
36,"technician","married","secondary","no",0,"no","no","cellular",2,"apr",748,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","4","2"
34,"blue-collar","married","unknown","no",245,"yes","no","unknown",6,"may",13,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
37,"technician","divorced","tertiary","no",1762,"yes","no","cellular",16,"apr",309,1,317,1,"failure","no","Contacted",317,"30-40","1K-5K","1","3"
32,"admin.","divorced","secondary","no",2294,"yes","no","cellular",5,"feb",342,2,260,2,"failure","no","Contacted",260,"30-40","1K-5K","1","3"
31,"blue-collar","single","secondary","no",33,"yes","no","unknown",15,"may",214,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
29,"technician","married","tertiary","no",-14,"no","no","cellular",21,"jul",203,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","Negative","1","2"
58,"retired","married","secondary","no",4,"no","yes","cellular",6,"aug",147,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
31,"blue-collar","married","primary","no",-464,"yes","yes","unknown",12,"may",256,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
38,"management","married","tertiary","no",551,"yes","no","unknown",12,"may",1875,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","4","3"
45,"admin.","single","primary","no",1811,"no","no","telephone",31,"jul",50,7,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
37,"management","single","unknown","no",504,"yes","no","cellular",16,"apr",555,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
36,"management","married","tertiary","no",203,"no","no","cellular",29,"oct",139,1,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
27,"blue-collar","married","primary","no",106,"yes","no","unknown",30,"may",150,5,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","1"
53,"blue-collar","married","secondary","no",6258,"yes","no","telephone",15,"jul",62,5,-1,0,"unknown","no","Not Contacted",NA,"50-60","5K-10K","5","1"
46,"management","married","tertiary","no",191,"yes","no","cellular",17,"nov",58,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
44,"services","married","secondary","no",1106,"yes","no","telephone",19,"nov",178,5,119,11,"failure","no","Contacted",119,"40-50","1K-5K","3","4"
40,"blue-collar","divorced","secondary","no",0,"no","no","cellular",12,"aug",266,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
35,"technician","single","tertiary","no",756,"yes","no","unknown",16,"jun",14,14,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","1"
55,"retired","divorced","secondary","no",1580,"no","yes","cellular",21,"nov",82,5,155,1,"success","no","Contacted",155,"50-60","1K-5K","5","3"
26,"blue-collar","single","secondary","no",-333,"no","yes","unknown",4,"jul",692,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","Negative","4","2"
42,"technician","married","secondary","no",5455,"no","no","cellular",11,"aug",149,4,-1,0,"unknown","no","Not Contacted",NA,"40-50","5K-10K","5","1"
30,"services","married","secondary","no",442,"yes","no","unknown",8,"may",137,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
42,"blue-collar","married","primary","no",574,"yes","no","cellular",6,"apr",357,2,327,2,"failure","no","Contacted",327,"40-50","0-1K","1","3"
50,"entrepreneur","married","secondary","no",7907,"yes","yes","cellular",22,"aug",363,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","5K-10K","5","1"
48,"management","married","secondary","no",438,"no","no","cellular",4,"feb",42,5,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","1"
25,"management","single","tertiary","no",710,"no","no","unknown",9,"jul",119,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","0-1K","1","2"
48,"management","single","tertiary","no",648,"yes","no","cellular",31,"jul",462,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
36,"blue-collar","single","secondary","no",1127,"yes","no","cellular",10,"jul",455,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
49,"admin.","married","secondary","no",284,"yes","no","cellular",6,"aug",131,3,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
50,"unemployed","married","secondary","no",49,"yes","no","cellular",21,"jul",237,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
45,"management","divorced","tertiary","no",-255,"yes","yes","unknown",28,"may",128,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","5","2"
39,"admin.","married","secondary","no",835,"yes","no","unknown",5,"jun",135,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
32,"blue-collar","married","secondary","no",-103,"yes","no","cellular",14,"may",298,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
32,"blue-collar","married","secondary","no",4471,"yes","no","cellular",3,"feb",197,1,270,2,"failure","no","Contacted",270,"30-40","1K-5K","1","3"
45,"management","married","tertiary","no",-319,"yes","no","unknown",23,"may",254,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","Negative","5","2"
62,"unemployed","married","primary","no",532,"no","no","cellular",31,"aug",298,2,300,1,"other","no","Contacted",300,"60+","0-1K","5","3"
52,"blue-collar","married","secondary","no",3429,"yes","no","cellular",17,"apr",516,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
27,"admin.","married","secondary","no",-435,"no","no","unknown",3,"jul",935,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","Negative","4","3"
57,"services","married","secondary","no",1315,"no","no","cellular",14,"aug",260,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
33,"services","married","tertiary","no",546,"yes","yes","unknown",9,"may",253,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
35,"management","married","tertiary","no",0,"yes","no","cellular",11,"nov",229,2,96,3,"success","yes","Contacted",96,"30-40","0-1K","1","4"
56,"blue-collar","married","secondary","no",1119,"yes","no","cellular",14,"aug",265,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","2"
21,"student","single","secondary","no",6844,"no","no","cellular",14,"aug",126,3,127,7,"other","no","Contacted",127,"Under 30","5K-10K","3","4"
42,"management","married","secondary","no",283,"yes","no","cellular",18,"nov",400,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","1","2"
46,"blue-collar","married","secondary","no",1583,"yes","no","telephone",12,"may",175,5,278,7,"failure","no","Contacted",278,"40-50","1K-5K","3","4"
30,"technician","single","tertiary","no",0,"yes","no","cellular",5,"jun",159,2,-1,0,"unknown","yes","Not Contacted",NA,"30-40","0-1K","1","2"
39,"management","married","tertiary","no",399,"no","no","cellular",9,"apr",504,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
54,"blue-collar","married","primary","no",0,"no","no","unknown",16,"jun",101,6,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","1"
57,"admin.","married","secondary","no",-967,"yes","no","telephone",15,"may",8,7,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","1"
47,"blue-collar","married","primary","no",145,"no","no","unknown",17,"jun",255,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
36,"admin.","single","tertiary","no",980,"no","no","cellular",11,"nov",118,4,104,7,"failure","no","Contacted",104,"30-40","0-1K","3","4"
74,"retired","married","primary","no",5539,"no","no","cellular",12,"jul",390,2,159,3,"failure","no","Contacted",159,"60+","5K-10K","5","4"
34,"student","single","tertiary","no",1322,"no","no","cellular",26,"aug",170,3,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
30,"self-employed","single","secondary","no",299,"yes","no","unknown",16,"may",679,17,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","2","4"
30,"technician","married","secondary","no",854,"yes","no","unknown",2,"jun",163,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
51,"management","married","tertiary","no",-898,"no","no","cellular",29,"jan",78,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
36,"blue-collar","married","secondary","no",7265,"no","no","unknown",17,"jun",243,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
52,"management","divorced","tertiary","no",-299,"no","no","cellular",29,"jul",110,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","Negative","5","2"
28,"services","single","secondary","no",0,"no","no","cellular",2,"feb",188,1,206,2,"other","no","Contacted",206,"Under 30","0-1K","1","3"
57,"technician","married","secondary","no",839,"no","yes","unknown",5,"may",225,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
52,"management","divorced","tertiary","no",2909,"yes","no","unknown",30,"may",110,1,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
41,"management","married","tertiary","no",1092,"no","no","cellular",5,"aug",736,1,-1,0,"unknown","yes","Not Contacted",NA,"40-50","1K-5K","4","2"
31,"blue-collar","single","primary","no",5058,"yes","no","unknown",20,"may",157,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
60,"retired","married","secondary","no",2086,"yes","no","unknown",15,"may",182,2,-1,0,"unknown","no","Not Contacted",NA,"60+","1K-5K","5","1"
50,"admin.","married","tertiary","no",0,"no","no","telephone",29,"aug",253,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
36,"management","married","tertiary","no",8564,"yes","no","unknown",23,"may",125,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","5K-10K","1","1"
57,"unknown","married","unknown","no",2266,"no","no","unknown",20,"jun",42,5,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
26,"admin.","single","secondary","no",1375,"yes","no","cellular",17,"apr",238,2,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","2"
53,"blue-collar","married","primary","no",109,"no","no","cellular",22,"aug",86,4,-1,0,"unknown","no","Not Contacted",NA,"50-60","0-1K","5","2"
28,"services","married","secondary","no",2114,"no","yes","unknown",23,"may",79,1,-1,0,"unknown","no","Not Contacted",NA,"Under 30","1K-5K","1","1"
37,"technician","single","tertiary","no",3943,"no","no","cellular",19,"nov",37,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","1"
50,"management","married","tertiary","no",3296,"no","no","unknown",18,"jun",255,2,-1,0,"unknown","no","Not Contacted",NA,"50-60","1K-5K","5","1"
47,"management","divorced","tertiary","no",310,"no","no","cellular",29,"aug",136,2,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","5","2"
49,"retired","married","primary","no",2665,"yes","no","unknown",13,"may",67,1,-1,0,"unknown","no","Not Contacted",NA,"40-50","1K-5K","5","1"
30,"technician","single","tertiary","no",2325,"no","no","cellular",10,"aug",263,1,127,7,"failure","yes","Contacted",127,"30-40","1K-5K","3","4"
34,"management","single","tertiary","no",-322,"no","no","unknown",9,"may",198,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
34,"management","divorced","tertiary","no",221,"no","no","cellular",8,"aug",150,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
38,"blue-collar","married","secondary","no",1149,"no","no","cellular",30,"jul",41,2,-1,0,"unknown","no","Not Contacted",NA,"30-40","1K-5K","1","2"
24,"blue-collar","married","secondary","no",685,"yes","no","unknown",26,"may",896,3,-1,0,"unknown","yes","Not Contacted",NA,"Under 30","0-1K","4","3"
31,"technician","divorced","secondary","no",-174,"no","yes","cellular",30,"jul",113,10,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","2","1"
35,"admin.","married","secondary","no",122,"yes","no","cellular",18,"nov",51,4,-1,0,"unknown","no","Not Contacted",NA,"30-40","0-1K","1","2"
34,"housemaid","married","primary","no",-1,"yes","no","cellular",9,"jul",272,1,-1,0,"unknown","no","Not Contacted",NA,"30-40","Negative","1","2"
40,"management","married","tertiary","no",592,"yes","no","telephone",15,"may",15,11,-1,0,"unknown","no","Not Contacted",NA,"40-50","0-1K","2","1"
